Player name,Actions,Score,Score difference,Turns,Score per turn,Score difference per turn,Win,Initial cooperation,Cooperation count,CC count,CD count,DC count,DD count,CC to C count,CC to D count,CD to C count,CD to D count,DC to C count,DC to D count,DD to C count,DD to D count,Good partner
Fool Me Forever,DDCCCCCCCC,24,-5,10,2.4,-0.5,0,FALSE,8,6,2,1,1,6,0,1,0,0,1,1,0,1
Fool Me Once,CCCCCDDDDD,30,10,10,3,1,1,TRUE,5,3,2,4,1,3,0,1,1,0,4,0,0,0
Forgetful Fool Me Once: 0.05,CCCCCDDDDD,30,10,10,3,1,1,TRUE,5,3,2,4,1,3,0,1,1,0,4,0,0,0
Forgetful Grudger,CCDDDDDDDD,35,25,10,3.5,2.5,1,TRUE,2,1,1,6,2,1,0,0,1,0,6,0,1,0
Forgiver,CCDDDDDDDD,35,25,10,3.5,2.5,1,TRUE,2,1,1,6,2,1,0,0,1,0,6,0,1,0
Forgiving Tit For Tat,CCDCCDCCCC,25,-5,10,2.5,-0.5,0,TRUE,8,5,3,2,0,5,0,0,2,2,0,0,0,1
Fortress3,DDDDDDDDDD,38,35,10,3.8,3.5,1,FALSE,0,0,0,7,3,0,0,0,0,0,7,0,2,0
Fortress4,DDDDDDDDDD,38,35,10,3.8,3.5,1,FALSE,0,0,0,7,3,0,0,0,0,0,7,0,2,0
GTFT: 0.33,CCDCCCCCCC,23,-10,10,2.3,-1,0,TRUE,9,6,3,1,0,6,0,1,1,1,0,0,0,1
"General Soft Grudger: n=1,d=4,c=2",CCDDDDCCCC,28,5,10,2.8,0.5,1,TRUE,6,4,2,3,1,4,0,0,1,1,2,0,1,0
Getzler,CCCCCDDCCC,25,-5,10,2.5,-0.5,0,TRUE,8,5,3,2,0,5,0,1,1,1,1,0,0,1
Gladstein,DCCCCDCCCC,25,-5,10,2.5,-0.5,0,FALSE,8,5,3,2,0,5,0,1,1,2,0,0,0,1
Soft Go By Majority,CCCCCCCCCC,21,-15,10,2.1,-1.5,0,TRUE,10,7,3,0,0,7,0,2,0,0,0,0,0,1
Soft Go By Majority: 10,CCCCCCCCCC,21,-15,10,2.1,-1.5,0,TRUE,10,7,3,0,0,7,0,2,0,0,0,0,0,1
Soft Go By Majority: 20,CCCCCCCCCC,21,-15,10,2.1,-1.5,0,TRUE,10,7,3,0,0,7,0,2,0,0,0,0,0,1
Soft Go By Majority: 40,CCCCCCCCCC,21,-15,10,2.1,-1.5,0,TRUE,10,7,3,0,0,7,0,2,0,0,0,0,0,1
Soft Go By Majority: 5,CCCCCCCCCC,21,-15,10,2.1,-1.5,0,TRUE,10,7,3,0,0,7,0,2,0,0,0,0,0,1
$\phi$,CDCDDCCDDC,29,10,10,2.9,1,1,TRUE,5,4,1,3,2,1,3,0,0,1,2,2,0,0
Graaskamp: 0.05,CCDCCDCCCC,25,-5,10,2.5,-0.5,0,TRUE,8,5,3,2,0,5,0,0,2,2,0,0,0,1
GraaskampKatzen,CCDCCDCCCC,25,-5,10,2.5,-0.5,0,TRUE,8,5,3,2,0,5,0,0,2,2,0,0,0,1
Gradual,CCDCCDDCCC,27,0,10,2.7,0,0,TRUE,7,4,3,3,0,4,0,0,2,2,1,0,0,1
"Gradual Killer: (D, D, D, D, D, C, C)",DDDDDCCCCC,29,10,10,2.9,1,1,FALSE,5,4,1,3,2,4,0,0,0,0,3,1,1,0
Grofman,CCDCCDCCCC,25,-5,10,2.5,-0.5,0,TRUE,8,5,3,2,0,5,0,0,2,2,0,0,0,1
Grudger,CCDDDDDDDD,35,25,10,3.5,2.5,1,TRUE,2,1,1,6,2,1,0,0,1,0,6,0,1,0
GrudgerAlternator,CCDCDCDCDC,28,5,10,2.8,0.5,1,TRUE,6,4,2,3,1,1,3,0,1,3,0,1,0,0
"Grumpy: Nice, 10, -10",CCCCCCCCCC,21,-15,10,2.1,-1.5,0,TRUE,10,7,3,0,0,7,0,2,0,0,0,0,0,1
Handshake,CDCCCCCCCC,22,-10,10,2.2,-1,0,TRUE,9,7,2,0,1,6,1,1,0,0,0,1,0,1
Hard Go By Majority,DCDCCCCCCC,25,-5,10,2.5,-0.5,0,FALSE,8,5,3,2,0,5,0,1,1,2,0,0,0,1
Hard Go By Majority: 10,DCDCCCCCCC,25,-5,10,2.5,-0.5,0,FALSE,8,5,3,2,0,5,0,1,1,2,0,0,0,1
Hard Go By Majority: 20,DCDCCCCCCC,25,-5,10,2.5,-0.5,0,FALSE,8,5,3,2,0,5,0,1,1,2,0,0,0,1
Hard Go By Majority: 40,DCDCCCCCCC,25,-5,10,2.5,-0.5,0,FALSE,8,5,3,2,0,5,0,1,1,2,0,0,0,1
Hard Go By Majority: 5,DCDCCCCCCC,25,-5,10,2.5,-0.5,0,FALSE,8,5,3,2,0,5,0,1,1,2,0,0,0,1
Hard Prober,DDCCCDCCCC,26,0,10,2.6,0,0,FALSE,7,5,2,2,1,5,0,0,1,1,1,1,0,1
Hard Tit For 2 Tats,CCCCCCCCCC,21,-15,10,2.1,-1.5,0,TRUE,10,7,3,0,0,7,0,2,0,0,0,0,0,1
Hard Tit For Tat,CCDDDDDDCC,32,15,10,3.2,1.5,1,TRUE,4,2,2,5,1,2,0,0,1,1,4,0,1,0
Harrington,CCDCCDCCCC,25,-5,10,2.5,-0.5,0,TRUE,8,5,3,2,0,5,0,0,2,2,0,0,0,1
Hesitant QLearner,CCCCCCCCCC,21,-15,10,2.1,-1.5,0,TRUE,10,7,3,0,0,7,0,2,0,0,0,0,0,1
Hopeless,CDCDCCDCDC,28,5,10,2.8,0.5,1,TRUE,6,4,2,3,1,0,4,1,0,3,0,1,0,0
Inverse,CCDCCDCCCC,25,-5,10,2.5,-0.5,0,TRUE,8,5,3,2,0,5,0,0,2,2,0,0,0,1
Inverse Punisher,CCDDDDDDDD,35,25,10,3.5,2.5,1,TRUE,2,1,1,6,2,1,0,0,1,0,6,0,1,0
Joss: 0.9,CCDCCDDCCC,27,0,10,2.7,0,0,TRUE,7,4,3,3,0,4,0,0,2,2,1,0,0,1
Kluepfel,CCCDCCDCCC,25,-5,10,2.5,-0.5,0,TRUE,8,5,3,2,0,3,2,2,0,2,0,0,0,1
Knowledgeable Worse and Worse,CDCCDDCDDD,30,15,10,3,1.5,1,TRUE,4,4,0,3,3,1,3,0,0,1,2,1,1,0
Level Punisher,CCCCCCCCCC,21,-15,10,2.1,-1.5,0,TRUE,10,7,3,0,0,7,0,2,0,0,0,0,0,1
Leyvraz,CCDDCDDCCC,29,5,10,2.9,0.5,1,TRUE,6,3,3,4,0,3,0,0,2,2,2,0,0,0
"Limited Retaliate: 0.1, 20",CCDDDDDDDD,35,25,10,3.5,2.5,1,TRUE,2,1,1,6,2,1,0,0,1,0,6,0,1,0
"Limited Retaliate 2: 0.08, 15",CCDDDDDDDD,35,25,10,3.5,2.5,1,TRUE,2,1,1,6,2,1,0,0,1,0,6,0,1,0
"Limited Retaliate 3: 0.05, 20",CCDDDDDDDD,35,25,10,3.5,2.5,1,TRUE,2,1,1,6,2,1,0,0,1,0,6,0,1,0
