Player name,Actions,Score,Score difference,Turns,Score per turn,Score difference per turn,Win,Initial cooperation,Cooperation count,CC count,CD count,DC count,DD count,CC to C count,CC to D count,CD to C count,CD to D count,DC to C count,DC to D count,DD to C count,DD to D count,Good partner
ThueMorseInverse,CDDCDCCDDC,16,-10,10,1.6,-1,0,TRUE,5,1,4,2,3,0,1,1,2,2,0,1,2,1
Thumper,CDDDDCDDDD,20,5,10,2,0.5,1,TRUE,2,0,2,3,5,0,0,0,2,1,2,0,4,0
Tideman and Chieruzzi,CDDDCCDDDC,17,-5,10,1.7,-0.5,0,TRUE,4,1,3,2,4,1,0,0,2,2,0,0,4,1
Tit For Tat,CDDDCCDDDC,17,-5,10,1.7,-0.5,0,TRUE,4,1,3,2,4,1,0,0,2,2,0,0,4,1
Tit For 2 Tats,CCDDCCCDDC,15,-15,10,1.5,-1.5,0,TRUE,6,1,5,2,2,1,0,2,2,2,0,0,2,1
Tranquilizer,CDDDCCDDDC,17,-5,10,1.7,-0.5,0,TRUE,4,1,3,2,4,1,0,0,2,2,0,0,4,1
Tricky Cooperator,CCCCCCCCCC,9,-35,10,0.9,-3.5,0,TRUE,10,3,7,0,0,3,0,6,0,0,0,0,0,1
Tricky Defector,DDDDDDDDCD,20,10,10,2,1,1,FALSE,1,1,0,2,7,0,1,0,0,0,2,1,5,0
Tricky Level Punisher,CDDDDDDDDD,21,10,10,2.1,1,1,TRUE,1,0,1,3,6,0,0,0,1,0,3,0,5,0
Tullock: 11,CCCCCCCCCC,9,-35,10,0.9,-3.5,0,TRUE,10,3,7,0,0,3,0,6,0,0,0,0,0,1
Two Tits For Tat,CDDDDCDDDD,20,5,10,2,0.5,1,TRUE,2,0,2,3,5,0,0,0,2,1,2,0,4,0
UsuallyCooperates,CCCCDCCCCD,12,-25,10,1.2,-2.5,0,TRUE,8,2,6,1,1,0,2,6,0,1,0,0,0,1
UsuallyDefects,DDDDDDDDDD,22,15,10,2.2,1.5,1,FALSE,0,0,0,3,7,0,0,0,0,0,3,0,6,0
VeryBad,CCCDDDDDDD,19,0,10,1.9,0,0,TRUE,3,0,3,3,4,0,0,2,1,0,3,0,3,1
Weiner,CDDDCCDDDD,18,0,10,1.8,0,0,TRUE,3,1,2,2,5,1,0,0,2,1,1,0,4,1
White,CCCCCCCCCC,9,-35,10,0.9,-3.5,0,TRUE,10,3,7,0,0,3,0,6,0,0,0,0,0,1
Willing,DDDDCCCCCC,14,-15,10,1.4,-1.5,0,FALSE,6,2,4,1,3,2,0,3,0,1,0,0,3,1
Winner12,CCDDDDCDDD,19,0,10,1.9,0,0,TRUE,3,0,3,3,4,0,0,1,2,0,3,1,2,1
Winner21,DCDDDCDDDD,20,5,10,2,0.5,1,FALSE,2,0,2,3,5,0,0,0,2,1,2,1,3,0
Win-Shift Lose-Stay: D,DDDDCDDDDC,19,5,10,1.9,0.5,1,FALSE,2,1,1,2,6,0,1,0,0,2,0,0,6,0
Win-Stay Lose-Shift: C,CDCDDDCDCC,16,-10,10,1.6,-1,0,TRUE,5,1,4,2,3,1,0,0,3,0,2,3,0,1
WmAdams,CCCCCCCDCC,10,-30,10,1,-3,0,TRUE,9,3,6,0,1,3,0,4,1,0,0,1,0,1
Worse and Worse,CCCCCCCCCC,9,-35,10,0.9,-3.5,0,TRUE,10,3,7,0,0,3,0,6,0,0,0,0,0,1
Worse and Worse 2,CDDDCCDDDC,17,-5,10,1.7,-0.5,0,TRUE,4,1,3,2,4,1,0,0,2,2,0,0,4,1
Worse and Worse 3,CDDDCDCCDD,17,-5,10,1.7,-0.5,0,TRUE,4,1,3,2,4,0,1,1,2,1,1,1,2,1
Yamachi,CCCDCDCDCD,14,-15,10,1.4,-1.5,0,TRUE,6,2,4,1,3,0,2,2,2,1,0,2,0,1
"ZD-Extortion: 0.2, 0.1, 1",CDDDDDDDDC,20,5,10,2,0.5,1,TRUE,2,0,2,3,5,0,0,0,1,1,2,0,5,0
"ZD-Extort-2: 0.1111111111111111, 0.5",CCDDCCDDDC,16,-10,10,1.6,-1,0,TRUE,5,1,4,2,3,1,0,1,2,2,0,0,3,1
"ZD-Extort3: 0.11538461538461539, 0.3333333333333333, 1",CCCCCCCCCC,9,-35,10,0.9,-3.5,0,TRUE,10,3,7,0,0,3,0,6,0,0,0,0,0,1
"ZD-Extort-2 v2: 0.125, 0.5, 1",CCDDDDDDDD,20,5,10,2,0.5,1,TRUE,2,0,2,3,5,0,0,1,1,0,3,0,4,0
