"","id","Round","Adversary","Choice_of_Advisor","Payoff","pw_order","rps_order","age","gender","service","school","rank","years_military_experience","game_theory_experience","machine_learning_experience","seconds_on_page","avg_time"
"121","9mp31",1,"Human","AI",-1,"1","123",41,"Male","Air Force","ACSC","4",19,3,3,12,11.5
"122","9mp31",10,"Human","AI",1,"1","123",41,"Male","Air Force","ACSC","4",19,3,3,8,11.5
"123","9mp31",1,"Human+AI","none",-1,"1","123",41,"Male","Air Force","ACSC","4",19,3,3,13,11.5
"124","9mp31",2,"Human+AI","none",1,"1","123",41,"Male","Air Force","ACSC","4",19,3,3,10,11.5
"125","9mp31",3,"Human+AI","AI",-1,"1","123",41,"Male","Air Force","ACSC","4",19,3,3,9,11.5
"126","9mp31",4,"Human+AI","AI",1,"1","123",41,"Male","Air Force","ACSC","4",19,3,3,10,11.5
"127","9mp31",5,"Human+AI","none",1,"1","123",41,"Male","Air Force","ACSC","4",19,3,3,29,11.5
"128","9mp31",6,"Human+AI","AI",-1,"1","123",41,"Male","Air Force","ACSC","4",19,3,3,9,11.5
"129","9mp31",7,"Human+AI","AI",1,"1","123",41,"Male","Air Force","ACSC","4",19,3,3,11,11.5
"130","9mp31",8,"Human+AI","none",-1,"1","123",41,"Male","Air Force","ACSC","4",19,3,3,20,11.5
"131","9mp31",9,"Human+AI","none",-1,"1","123",41,"Male","Air Force","ACSC","4",19,3,3,9,11.5
"132","9mp31",2,"Human","AI",1,"1","123",41,"Male","Air Force","ACSC","4",19,3,3,10,11.5
"133","9mp31",10,"Human+AI","AI",1,"1","123",41,"Male","Air Force","ACSC","4",19,3,3,9,11.5
"134","9mp31",1,"AI","AI",1,"1","123",41,"Male","Air Force","ACSC","4",19,3,3,12,11.5
"135","9mp31",2,"AI","AI",1,"1","123",41,"Male","Air Force","ACSC","4",19,3,3,8,11.5
"136","9mp31",3,"AI","AI",-1,"1","123",41,"Male","Air Force","ACSC","4",19,3,3,9,11.5
"137","9mp31",4,"AI","AI",0,"1","123",41,"Male","Air Force","ACSC","4",19,3,3,9,11.5
"138","9mp31",5,"AI","AI",1,"1","123",41,"Male","Air Force","ACSC","4",19,3,3,9,11.5
"139","9mp31",6,"AI","AI",-1,"1","123",41,"Male","Air Force","ACSC","4",19,3,3,9,11.5
"140","9mp31",7,"AI","AI",0,"1","123",41,"Male","Air Force","ACSC","4",19,3,3,9,11.5
"141","9mp31",8,"AI","AI",-1,"1","123",41,"Male","Air Force","ACSC","4",19,3,3,8,11.5
"142","9mp31",9,"AI","AI",-1,"1","123",41,"Male","Air Force","ACSC","4",19,3,3,9,11.5
"143","9mp31",3,"Human","AI",-1,"1","123",41,"Male","Air Force","ACSC","4",19,3,3,11,11.5
"144","9mp31",10,"AI","AI",1,"1","123",41,"Male","Air Force","ACSC","4",19,3,3,9,11.5
"145","9mp31",4,"Human","none",1,"1","123",41,"Male","Air Force","ACSC","4",19,3,3,14,11.5
"146","9mp31",5,"Human","AI",-1,"1","123",41,"Male","Air Force","ACSC","4",19,3,3,9,11.5
"147","9mp31",6,"Human","none",1,"1","123",41,"Male","Air Force","ACSC","4",19,3,3,26,11.5
"148","9mp31",7,"Human","none",-1,"1","123",41,"Male","Air Force","ACSC","4",19,3,3,16,11.5
"149","9mp31",8,"Human","none",1,"1","123",41,"Male","Air Force","ACSC","4",19,3,3,10,11.5
"150","9mp31",9,"Human","none",-1,"1","123",41,"Male","Air Force","ACSC","4",19,3,3,9,11.5
"151","amm45",1,"AI","none",0,"2","312",36,"Male","Air Force","SAASS","4",16,3,3,15,7.86666666666667
"152","amm45",10,"AI","none",-1,"2","312",36,"Male","Air Force","SAASS","4",16,3,3,8,7.86666666666667
"153","amm45",1,"Human","AI",1,"2","312",36,"Male","Air Force","SAASS","4",16,3,3,9,7.86666666666667
"154","amm45",2,"Human","AI",0,"2","312",36,"Male","Air Force","SAASS","4",16,3,3,6,7.86666666666667
"155","amm45",3,"Human","AI",-1,"2","312",36,"Male","Air Force","SAASS","4",16,3,3,6,7.86666666666667
"156","amm45",4,"Human","none",1,"2","312",36,"Male","Air Force","SAASS","4",16,3,3,8,7.86666666666667
"157","amm45",5,"Human","none",0,"2","312",36,"Male","Air Force","SAASS","4",16,3,3,7,7.86666666666667
"158","amm45",6,"Human","human",1,"2","312",36,"Male","Air Force","SAASS","4",16,3,3,7,7.86666666666667
"159","amm45",7,"Human","none",-1,"2","312",36,"Male","Air Force","SAASS","4",16,3,3,7,7.86666666666667
"160","amm45",8,"Human","AI",0,"2","312",36,"Male","Air Force","SAASS","4",16,3,3,7,7.86666666666667
"161","amm45",9,"Human","none",1,"2","312",36,"Male","Air Force","SAASS","4",16,3,3,6,7.86666666666667
"162","amm45",2,"AI","none",0,"2","312",36,"Male","Air Force","SAASS","4",16,3,3,11,7.86666666666667
"163","amm45",10,"Human","none",0,"2","312",36,"Male","Air Force","SAASS","4",16,3,3,7,7.86666666666667
"164","amm45",1,"Human+AI","AI",0,"2","312",36,"Male","Air Force","SAASS","4",16,3,3,6,7.86666666666667
"165","amm45",2,"Human+AI","none",0,"2","312",36,"Male","Air Force","SAASS","4",16,3,3,7,7.86666666666667
"166","amm45",3,"Human+AI","none",1,"2","312",36,"Male","Air Force","SAASS","4",16,3,3,6,7.86666666666667
"167","amm45",4,"Human+AI","AI",-1,"2","312",36,"Male","Air Force","SAASS","4",16,3,3,7,7.86666666666667
"168","amm45",5,"Human+AI","none",1,"2","312",36,"Male","Air Force","SAASS","4",16,3,3,7,7.86666666666667
"169","amm45",6,"Human+AI","none",-1,"2","312",36,"Male","Air Force","SAASS","4",16,3,3,7,7.86666666666667
"170","amm45",7,"Human+AI","AI",0,"2","312",36,"Male","Air Force","SAASS","4",16,3,3,7,7.86666666666667
"171","amm45",8,"Human+AI","AI",-1,"2","312",36,"Male","Air Force","SAASS","4",16,3,3,6,7.86666666666667
"172","amm45",9,"Human+AI","AI",1,"2","312",36,"Male","Air Force","SAASS","4",16,3,3,7,7.86666666666667
"173","amm45",3,"AI","none",0,"2","312",36,"Male","Air Force","SAASS","4",16,3,3,9,7.86666666666667
"174","amm45",10,"Human+AI","human",-1,"2","312",36,"Male","Air Force","SAASS","4",16,3,3,6,7.86666666666667
"175","amm45",4,"AI","none",0,"2","312",36,"Male","Air Force","SAASS","4",16,3,3,9,7.86666666666667
"176","amm45",5,"AI","AI",-1,"2","312",36,"Male","Air Force","SAASS","4",16,3,3,11,7.86666666666667
"177","amm45",6,"AI","AI",1,"2","312",36,"Male","Air Force","SAASS","4",16,3,3,11,7.86666666666667
"178","amm45",7,"AI","human",1,"2","312",36,"Male","Air Force","SAASS","4",16,3,3,9,7.86666666666667
"179","amm45",8,"AI","none",0,"2","312",36,"Male","Air Force","SAASS","4",16,3,3,9,7.86666666666667
"180","amm45",9,"AI","none",-1,"2","312",36,"Male","Air Force","SAASS","4",16,3,3,8,7.86666666666667
"181","b1462",1,"Human","none",-1,"2","132",45,"Male","Air Force","AWC","5",26,3,2,14,10.1
"182","b1462",10,"Human","none",0,"2","132",45,"Male","Air Force","AWC","5",26,3,2,9,10.1
"183","b1462",1,"AI","none",1,"2","132",45,"Male","Air Force","AWC","5",26,3,2,11,10.1
"184","b1462",2,"AI","none",-1,"2","132",45,"Male","Air Force","AWC","5",26,3,2,10,10.1
"185","b1462",3,"AI","none",0,"2","132",45,"Male","Air Force","AWC","5",26,3,2,9,10.1
"186","b1462",4,"AI","none",-1,"2","132",45,"Male","Air Force","AWC","5",26,3,2,9,10.1
"187","b1462",5,"AI","none",1,"2","132",45,"Male","Air Force","AWC","5",26,3,2,9,10.1
"188","b1462",6,"AI","none",1,"2","132",45,"Male","Air Force","AWC","5",26,3,2,10,10.1
"189","b1462",7,"AI","none",-1,"2","132",45,"Male","Air Force","AWC","5",26,3,2,9,10.1
"190","b1462",8,"AI","none",1,"2","132",45,"Male","Air Force","AWC","5",26,3,2,10,10.1
"191","b1462",9,"AI","none",-1,"2","132",45,"Male","Air Force","AWC","5",26,3,2,9,10.1
"192","b1462",2,"Human","none",1,"2","132",45,"Male","Air Force","AWC","5",26,3,2,12,10.1
"193","b1462",10,"AI","none",-1,"2","132",45,"Male","Air Force","AWC","5",26,3,2,9,10.1
"194","b1462",1,"Human+AI","none",1,"2","132",45,"Male","Air Force","AWC","5",26,3,2,10,10.1
"195","b1462",2,"Human+AI","none",-1,"2","132",45,"Male","Air Force","AWC","5",26,3,2,11,10.1
"196","b1462",3,"Human+AI","none",0,"2","132",45,"Male","Air Force","AWC","5",26,3,2,11,10.1
"197","b1462",4,"Human+AI","none",-1,"2","132",45,"Male","Air Force","AWC","5",26,3,2,9,10.1
"198","b1462",5,"Human+AI","none",1,"2","132",45,"Male","Air Force","AWC","5",26,3,2,9,10.1
